,CO2,Aktive,Distanz,timestamp,Teamplatzierung
0,"872,9",64,5.938,1599346800.0,6
0,"872,9",64,5.938,1599347700.0,6
0,"879,1",64,5.980,1599348600.0,6
0,"879,1",64,5.980,1599349500.0,6
0,"879,1",64,5.980,1599350400.0,6
0,"879,1",64,5.980,1599351300.0,6
0,"879,1",64,5.980,1599352200.0,6
0,"879,1",64,5.980,1599353100.0,6
0,"879,1",64,5.980,1599354000.0,6
0,"879,1",64,5.980,1599354900.0,6
0,"879,1",64,5.980,1599355800.0,6
0,"879,1",64,5.980,1599356700.0,6
0,"879,1",64,5.980,1599357600.0,6
0,"879,1",64,5.980,1599358500.0,6
0,"879,1",64,5.980,1599359400.0,6
0,"879,1",64,5.980,1599360300.0,6
0,"879,1",64,5.980,1599361200.0,6
0,"879,1",64,5.980,1599362100.0,6
0,"879,1",64,5.980,1599363000.0,6
0,"879,1",64,5.980,1599363900.0,6
0,"879,1",64,5.980,1599364800.0,6
0,"879,1",64,5.980,1599365760.0,6
0,"879,1",64,5.980,1599366600.0,6
0,"879,1",64,5.980,1599367500.0,6
0,"879,1",64,5.980,1599368400.0,6
0,"879,1",64,5.980,1599369300.0,6
0,"879,1",64,5.980,1599370200.0,6
0,"879,1",64,5.980,1599371100.0,6
0,"879,1",64,5.980,1599372000.0,6
0,"879,1",64,5.980,1599372900.0,6
0,"879,1",64,5.980,1599373800.0,6
0,"879,1",64,5.980,1599374700.0,6
0,"879,1",64,5.980,1599375600.0,6
0,"879,1",64,5.980,1599376500.0,6
0,"879,1",64,5.980,1599377400.0,6
0,"879,1",64,5.980,1599378300.0,6
0,"879,1",64,5.980,1599379200.0,6
0,"879,1",64,5.980,1599380100.0,6
0,"879,1",64,5.980,1599381000.0,6
0,"879,1",64,5.980,1599381900.0,6
0,"879,1",64,5.980,1599382800.0,6
0,"879,1",64,5.980,1599383700.0,6
0,"937,1",65,6.375,1599384600.0,6
0,"937,1",65,6.375,1599385500.0,6
0,"937,1",65,6.375,1599386400.0,6
0,"937,1",65,6.375,1599387300.0,6
0,"937,1",65,6.375,1599388260.0,6
0,"937,1",65,6.375,1599389100.0,6
0,"937,1",65,6.375,1599390000.0,6
